YEAR,AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP
2016,48,TX,Texas,15-1151,Computer User Support Specialists,detailed,57340
2016,48,TX,Texas,15-1152,Computer Network Support Specialists,detailed,17730
2016,48,TX,Texas,15-1199,"Computer , All Other",detailed,16890
2016,48,TX,Texas,15-2011,Actuaries,detailed,1180
2016,48,TX,Texas,15-2021,Mathematicians,detailed,130
2016,48,TX,Texas,15-2031,Operations Research Analysts,detailed,10620
2016,48,TX,Texas,15-2041,Statisticians,detailed,1590
2016,48,TX,Texas,15-2091,Mathematical Technicians,detailed,110
2016,48,TX,Texas,15-2099,"Mathematical Science , All Other",detailed,200
2017,48,TX,Texas,15-0000,Computer and Mathematical ,major,353460
2017,48,TX,Texas,15-1111,Computer and Information Research Scientists,detailed,2170
2017,48,TX,Texas,15-1121,Computer Systems Analysts,detailed,56220
2017,48,TX,Texas,15-1122,Information Security Analysts,detailed,7760
2017,48,TX,Texas,15-1131,Computer Programmers,detailed,20850
2017,48,TX,Texas,15-1132,"Software Developers, Applications",detailed,67850
2017,48,TX,Texas,15-1133,"Software Developers, Systems Software",detailed,25330
2017,48,TX,Texas,15-1134,Web Developers,detailed,7920
2017,48,TX,Texas,15-1141,Database Administrators,detailed,11570
2017,48,TX,Texas,15-1142,Network and Computer Systems Administrators,detailed,32660
2017,48,TX,Texas,15-1143,Computer Network Architects,detailed,12330
2017,48,TX,Texas,15-1151,Computer User Support Specialists,detailed,57680
2017,48,TX,Texas,15-1152,Computer Network Support Specialists,detailed,16890
2017,48,TX,Texas,15-1199,"Computer , All Other",detailed,19640
2017,48,TX,Texas,15-2011,Actuaries,detailed,1080
2017,48,TX,Texas,15-2021,Mathematicians,detailed,140
2017,48,TX,Texas,15-2031,Operations Research Analysts,detailed,11400
2017,48,TX,Texas,15-2041,Statisticians,detailed,1690
2017,48,TX,Texas,15-2090,Miscellaneous Mathematical Science ,detailed,280
2018,48,TX,Texas,15-0000,Computer and Mathematical ,major,364120
2018,48,TX,Texas,15-1111,Computer and Information Research Scientists,detailed,1830
2018,48,TX,Texas,15-1121,Computer Systems Analysts,detailed,51710
2018,48,TX,Texas,15-1122,Information Security Analysts,detailed,8520
2018,48,TX,Texas,15-1131,Computer Programmers,detailed,20960
2018,48,TX,Texas,15-1132,"Software Developers, Applications",detailed,71260
2018,48,TX,Texas,15-1133,"Software Developers, Systems Software",detailed,28720
2018,48,TX,Texas,15-1134,Web Developers,detailed,7830
2018,48,TX,Texas,15-1141,Database Administrators,detailed,11020
2018,48,TX,Texas,15-1142,Network and Computer Systems Administrators,detailed,35100
2018,48,TX,Texas,15-1143,Computer Network Architects,detailed,12560
2018,48,TX,Texas,15-1151,Computer User Support Specialists,detailed,60380
2018,48,TX,Texas,15-1152,Computer Network Support Specialists,detailed,14230
2018,48,TX,Texas,15-1199,"Computer , All Other",detailed,25620
2018,48,TX,Texas,15-2011,Actuaries,detailed,1000
2018,48,TX,Texas,15-2021,Mathematicians,detailed,150
2018,48,TX,Texas,15-2031,Operations Research Analysts,detailed,11190
2018,48,TX,Texas,15-2041,Statisticians,detailed,1860
2018,48,TX,Texas,15-2090,Miscellaneous Mathematical Science ,detailed,200
